reaction   FLUX    DeltaG
PGK                11.33289                -1.50000
ACKr                 8.25070                -1.50000
PTAr                 8.25070                -6.44524
PYK                 3.92894                -1.50000
PFK                 0.00000               -50.50453
GAPD                11.33289                -1.50000
ACONTa                 0.38834                -1.50000
ACONTb                 0.38834                -7.13742
AKGDH                 3.14097               -50.76070
CS                 0.38834               -49.93545
ENO                11.33289                -1.50000
FBA                 0.00000                36.83742
FRD2                 3.14097                -1.50000
FUM                 0.00000               -11.45450
GLCpts                10.00000                -3.64837
ICDHyr                 0.00000                52.02579
MDH3                 0.00000                -7.13742
PDH                10.71272               -30.96204
PGI                 4.49610               -18.19284
PGM                11.33289                -1.50000
SUCOAS                 3.14097                -1.50000
CBPS                 0.00000               -19.61995
GLULOD_f                 0.00000                35.20054
GTHP_f                 0.00000              -338.00325
23PDE7pp                 0.00000               -21.78579
23PDE4pp                 0.00000               -21.58579
23PDE9pp                 0.00000               -21.78579
23PDE2pp                 0.00000               -22.68579
DHQS                 0.01253               -77.67108
DRBK_f                 0.00000                 7.34837
MEPCT                 0.00000                -6.26336
PGLYCP                 0.00000                -0.13300
CHORS                 0.01253                -9.29558
SULR                 0.00000              -202.93077
HMPK1                 0.00000               -29.07287
CDPMEK                 0.00000               -27.07287
HPROzr_f                 0.00000                42.55163
HETZK                 0.00000               -35.77287
ASAD_f                 0.00506                -1.50000
PPNCL2                 0.00002               -55.98461
RBFSa                 0.00002               -88.98266
MTHFR3_f                 0.00000               106.27405
AMID5                 0.00000               -12.25163
ACS                 0.00000               -17.13349
UAGDP                 0.12024                -1.50000
ACGK                 0.00000                -9.92450
METB1r_f                 0.00506               -19.78657
AMANK                 0.00000               -31.07287
ACYP_2                 0.00000               -17.60587
PUNP1_f                 0.00000                11.55750
ATPS24                 5.82029                -1.50000
ADPRDP                 0.00000                 3.90325
PANTS                 0.00002               -41.98461
ARGSSr                 0.90745               -52.23360
ASPCT                 2.07987               -12.20587
CBMK                 0.53687                -3.27287
FACOALO                 0.00000               -28.53623
CHCOAL                 0.00000               -33.33623
SUCBZL                 0.00000               -33.33623
CYTDK1                 0.00000               -32.17287
DADNK                 0.00000               -30.87287
DGNSK                 0.00000               -68.49737
NADS1                 0.00009               -64.35998
DPCOAK                 0.00002               -50.29737
DURIK1                 0.02469               -33.37287
FRUKr                 0.00000               -36.77287
FMNAT                 0.00001               -43.08786
HEX7                 0.00000               -20.24121
HEX1                 0.00000                -2.14837
GNK                 0.00000                 5.65163
GLYCK                 0.00000               -23.69545
GLYKr                 0.00008               -66.96073
GTPDPK                 0.00000               -60.69737
PPCK                 0.00000               -39.35995
HSK                 0.00000               -57.07287
MEVK1                 0.00103               -34.77287
NADK                 0.00000               -12.92579
NNATr_f                 0.00009               -21.46336
PNTK                 0.00002               -35.27287
ATPX5P                 0.00000               -32.77287
PYDXK                 0.00000               -34.27287
ATPP5P                 0.00000               -27.47287
PRPPS_f                 2.21046               -18.37287
RBK_Dr                 0.00000               -41.12829
RBK_L1                 0.00000               -31.07287
RBKr                 0.00000               -46.57287
RBFK                 0.00001               -66.99737
PFK_3                 5.38146                -1.50000
SHKK                 0.01253               -26.80587
PFK_2                 0.00000               -38.17287
TMDPK                 0.00001               -22.27287
TMDK1                 0.00000               -37.47287
URIK1                 0.00000               -49.44313
CO23OC                 0.00000              -265.93742
OCBT_f                 0.00000                51.00571
BGLK_f                 0.00000               -14.94837
NTD4pp                 0.00000                16.16700
G3PCT                 0.26161                -1.50000
DASYN140                 0.00000                -6.36336
DASYN180                 0.00000                -6.36336
SHSL1r_f                 0.00000                16.12124
DACTPP                 0.00000                35.27612
DCPP                 0.00000                35.17612
CYTK11_f                 0.00000                33.87612
CDDTPP                 0.00000               -30.67287
DUCYTP                 0.00000                 4.45163
PYNP1_f                 0.00000               -14.46700
UUPP                 0.00000                 2.15163
UCPP                 0.00033                -3.59413
PUNP2_f                 0.00000                20.48199
NTD6pp                 0.00000                14.86700
DAUPP                 0.00000                17.60587
UDCTPP                 0.00000                17.80587
PUNP4_f                 0.00000                -7.44250
NTPP1                 0.00000               -12.46011
DGUPP                 0.00000                16.60587
ALKP                 0.00000                 9.06700
FOLR2_f                 0.00000               -12.69620
PUNP6_f                 0.00000               -15.84250
NTPP10                 0.00000               -17.96011
NADKd                 0.00003               -11.52579
DTUPP                 0.00000               -47.94313
NTD1                 0.00000                17.26700
DURIPP_f                 0.00000                 1.50000
DUTPDP                 0.00000                -5.26011
DUUPP                 0.00000               -12.81863
DDPA                 0.01253               -49.15750
PROD2                 0.00000                49.17612
FBP                 0.00000                34.39866
PLPS                 0.00000              -248.75491
PUNP3                 0.00000                17.05750
NTPP2                 0.00000               -38.38461
URIK2                 0.00000               -47.44313
PUNP5_f                 0.00001               -59.19150
PTA2                 0.00000               -10.26700
PYNP2r                 0.00000               -43.94899
PUNP7_f                 0.00000               -19.96700
AMID2r_f                 0.00000                 3.00000
HISTP                 0.00312                -1.50000
NTPP9                 0.00000                38.98565
MI1PP                 0.00000                 7.96700
MI3PP                 0.00000                 7.96700
MI4PP                 0.00000                 7.96700
NADDPp_f                 0.00000               -14.84587
NMNHYD                 0.00000                36.76700
BPNT                 0.00000                25.36700
THRS                 0.00000                 1.66700
4HTHRS                 0.00000                15.96700
PSP_L                 0.00000                56.30150
TAHL_f                 0.00000                17.95163
UAG2EMA_f                 0.00000               -42.77287
NTPP8                 0.00000                12.04837
NTPP11                 0.00000               -17.96011
URIK3                 0.00000               -14.81863
LASP2OA_f                 0.00000                12.18904
PRO1x                 0.00000                76.47863
FF_31_f                 0.00000               -90.80250
P5CR                 0.00000                95.05605
NP1_f                 0.00000                28.70912
ORNCD                 0.00727                -1.50000
PSCVT_f                 0.01253                -1.50000
UAGCVT                 0.05858               -18.85750
PNP_f                 0.00000               -31.51537
UAGPT3                 0.00000               -34.57287
UAGPT2_f                 0.00000               -34.57287
UDUPP                 0.00000               -20.66439
2S5EPAC                 0.00000               -42.28328
2SU6HYCC                 0.00000               -79.23545
3A2OA_f                 0.00000                 2.43742
3M2OBLOXRD_f                 0.00000               -33.43742
3M2OPLOXRD_f                 0.00000               -33.43742
3MTDC_f                 0.00000              -250.38579
3NTD9pp                 0.00000               -15.00000
3OXCOAT                 0.00000                 7.67992
4M2OPLOXRD_f                 0.00000               -34.63742
4MCO2D_f                 0.00000              -245.38579
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000                21.22450
6PHBG                 0.00000                55.62450
6PHBG2                 0.00000                62.62450
AABTN                 0.00000               -12.10274
AB6PGH                 0.00000                62.62450
ABTA                 0.00000                12.43742
ABTAr                 0.00000                12.43742
ABUTD                 0.00000               -33.28328
ABUTDy                 0.00000               -15.30587
ACACT1r_f                 0.00103                -1.50000
ACACT2r_f                 0.00000                17.00000
ACACT7r_f                 0.00000                17.40000
ACALD                 0.00000               -16.22199
ACGAMT                 0.00000               -26.37612
ACGApts_f                 0.00000               -30.87287
ACGS                 0.00000               -53.63166
ACHBS                 0.13724               -36.46455
ACLDC                 0.03746                -1.50000
ACLS                 1.00800               -42.50209
ACMANAptspp                 0.00000               -32.57287
ACNMLr_f                 0.00000                19.06455
ACOAD1                 0.00000               -58.90250
ACOAD3                 0.00000               -64.70250
ACOAD5                 0.00000               -64.70250
ACOAD6                 0.00000               -64.70250
ACOAD7                 0.00000               -68.30250
ACOADH2_f                 0.00000              -334.06258
ACODA                 0.00000                -0.26532
ACOTA_f                 0.00000                 2.93742
ACTD2_f                 0.03746                -1.50000
ADA                 0.00001                13.87287
ADAPAT_f                 0.00000               -39.08708
ADCL                 0.00002               -98.30832
ADCS                 0.00002                14.58328
ADK1_f                 3.23687               -35.77450
ADKd_f                 0.00000                68.94899
ADNCYC                 0.00000                -8.69882
ADNUC                 0.00000                28.32450
ADPT                 0.00000               -37.03623
ADSK                 0.00000               -35.07287
ADSL1_f                 0.13126                -1.50000
ADSL2r_f                 0.00000                69.54899
ADSS                 0.13126                -1.50000
AGDC_r_f                 0.00000                29.47013
AGPAT140d                 0.00000                -3.60000
AGPR_f                 0.00000                -5.72450
AHCYSNS                 0.00001               -17.70000
AICART_f                 0.00312               -16.94132
AKGDa                 0.00000               -61.28328
AKGDb                 0.00000                -0.52008
ALAALAr_f                 0.00000               -14.30587
ALAASPtr                 0.00000               -16.07587
ALAD_L                 0.00000                27.90514
ALAGLUt                 0.00000               -16.07587
ALATA_D_f                 0.00000                10.06455
ALCD1_f                 0.00000                39.00250
ALCD19_f                 0.00000                 8.97801
ALCD2x_f                 0.00000                37.45959
