reaction   FLUX    DeltaG
PGK                13.57714                -1.50000
ACKr                12.74671                -1.50000
PTAr                12.74671                -4.87464
PYK                 5.24926                -5.75652
PFK                 0.00000               -41.43742
GAPD                13.57714                -1.50000
ACONTa                 0.00000                15.73742
ACONTb                 0.00000                -7.13742
AKGDH                 1.91468               -24.61844
CS                 0.00000               -47.06000
ENO                13.57714                -1.50000
FBA                 0.00000                36.83742
FRD2                 1.91468                -1.50000
FUM                 0.00000               -19.05450
GLCpts                10.00000               -23.40360
ICDHyr                 0.00000                33.90000
MDH3                 0.00000               -28.82089
PDH                14.80472               -26.70552
PGI                 4.84558               -14.90246
PGM                13.57714                -1.50000
SUCOAS                 1.91468                -1.50000
CBPS                 0.00000               -21.15301
GLULOD_f                 0.00000                13.51707
GTHP_f                 0.00000              -334.86204
23PDE7pp                 0.00000               -23.35640
23PDE4pp                 0.00000               -23.15640
23PDE9pp                 0.00000               -23.35640
23PDE2pp                 0.00000               -24.25640
DHQS                 0.01253               -79.24169
DRBK_f                 0.00000                15.13796
MEPCT                 0.00000                12.84348
PGLYCP                 0.00000                -1.70360
CHORS                 0.01253               -10.86619
SULR                 0.00000              -201.03898
HMPK1                 0.00000               -30.64348
CDPMEK                 0.00000               -28.64348
HPROzr_f                 0.00000                40.98102
HETZK                 0.00000               -37.34348
ASAD_f                 0.00506                -1.50000
PPNCL2                 0.00002               -40.01898
RBFSa                 0.00002               -90.55327
MTHFR3_f                 0.00000               105.53640
AMID5                 0.00000               -13.98695
ACS                 0.00000                 0.40274
UAGDP                 0.12024                -1.50000
ACGK                 0.00000                -9.92450
METB1r_f                 0.00506               -30.49024
AMANK                 0.00000               -32.64348
ACYP_2                 0.00000               -20.74708
PUNP1_f                 0.00000               -22.49640
ATPS24                 3.50790                -1.50000
ADPRDP                 0.00000                 0.76204
PANTS                 0.00002               -26.01898
ARGSSr                 0.86733                -1.50000
ASPCT                 2.07987               -15.38463
CBMK                 2.46829                -1.50000
FACOALO                 0.00000               -11.00000
CHCOAL                 0.00000               -15.80000
SUCBZL                 0.00000               -15.80000
CYTDK1                 0.00000               -34.82450
DADNK                 0.00000               -68.06797
DGNSK                 0.02007               -34.44348
NADS1                 0.00009               -45.08842
DPCOAK                 0.00002               -51.86797
DURIK1                 0.02469               -34.94348
FRUKr                 0.00000               -38.34348
FMNAT                 0.00001               -23.98102
HEX7                 0.00000               -32.44954
HEX1                 0.00000               -17.64708
GNK                 0.00000                 4.08102
GLYCK                 0.00000               -25.26606
GLYKr                 0.00008               -49.42450
GTPDPK                 0.00000               -62.26797
PPCK                 0.00000               -19.24708
HSK                 0.00000               -58.64348
MEVK1                 0.00103               -36.34348
NADK                 0.00000               -40.79260
NNATr_f                 0.00009                -2.35652
PNTK                 0.00002                -1.21898
ATPX5P                 0.00000               -34.34348
PYDXK                 0.00000               -35.84348
ATPP5P                 0.00000               -29.04348
PRPPS_f                 2.19039                -9.04348
RBK_Dr                 0.00000               -46.44348
RBK_L1                 0.00000               -32.64348
RBKr                 0.00000               -48.14348
RBFK                 0.00001               -68.56797
PFK_3                 6.56852                -1.50000
SHKK                 0.01253               -29.94708
PFK_2                 0.00000               -39.74348
TMDPK                 0.00001               -23.84348
TMDK1                 0.00000               -39.04348
URIK1                 0.00000               -17.37710
CO23OC                 0.00000              -265.93742
OCBT_f                 0.38842                -1.50000
BGLK_f                 0.00000               -30.44708
NTD4pp                 0.00000                15.67742
G3PCT                 0.26161                -1.50000
DASYN140                 0.00000                12.74348
DASYN180                 0.00000                12.74348
SHSL1r_f                 0.00000                19.22491
DACTPP                 0.00000                -3.00000
DCPP                 0.00033                -1.50000
CYTK11_f                 0.00000                 1.50000
CDDTPP                 0.00000                -1.50000
DUCYTP                 0.00000                 1.80000
PYNP1_f                 0.00000               -13.97742
UUPP                 0.00000                -0.50000
UCPP                 0.00000               -33.42450
PUNP2_f                 0.00000               -55.41537
NTD6pp                 0.00000                48.92089
DAUPP                 0.00000                14.04740
UDCTPP                 0.00000                15.84740
PUNP4_f                 0.00000                23.53362
NTPP1                 0.00000                 3.50552
DGUPP                 0.00000                18.94740
ALKP                 0.00000                 7.49640
FOLR2_f                 0.00000               -10.70912
PUNP6_f                 0.00000               -20.49088
NTPP10                 0.00000                -1.99448
NADKd                 0.00003                -7.56810
DTUPP                 0.00000                15.94740
NTD1                 0.00000                15.69640
DURIPP_f                 0.00000                 1.50000
DUTPDP                 0.00000                10.70552
DUUPP                 0.00000                19.24740
DDPA                 0.01253               -50.44102
PROD2                 0.00000                11.98102
FBP                 0.00000                22.19034
PLPS                 0.00000              -245.01034
PUNP3                 0.00000                18.62810
NTPP2                 0.00000               -22.41898
URIK2                 0.00000               -15.37710
PUNP5_f                 0.00001               -21.99640
PTA2                 0.00000                -8.69640
PYNP2r                 0.00000                -2.10552
PUNP7_f                 0.00000               -18.39640
AMID2r_f                 0.00000                -0.30593
HISTP                 0.00312                -1.50000
NTPP9                 0.00000                57.83946
MI1PP                 0.00000                 6.39640
MI3PP                 0.00000                 6.39640
MI4PP                 0.00000                 6.39640
NADDPp_f                 0.00000               -17.98708
NMNHYD                 0.00000                35.19640
BPNT                 0.00000               -11.82810
THRS                 0.00000                 0.09640
4HTHRS                 0.00000                14.39640
PSP_L                 0.00000                54.73089
TAHL_f                 0.00000                16.38102
UAG2EMA_f                 0.00000               -40.74348
NTPP8                 0.00000                -4.75260
NTPP11                 0.00000                -1.99448
URIK3                 0.00000                17.24740
LASP2OA_f                 0.00000                32.30191
PRO1x                 0.00000                37.71292
FF_31_f                 0.00000               -89.23190
P5CR                 0.00000                58.27742
NP1_f                 0.00000                28.70912
ORNCD                 0.00727               -26.48941
PSCVT_f                 0.01253                -1.50000
UAGCVT                 0.05858               -20.42810
PNP_f                 0.00000               -31.51537
UAGPT3                 0.00000               -32.54348
UAGPT2_f                 0.00000               -32.54348
UDUPP                 0.00000               -15.77710
2S5EPAC                 0.00000               -23.74102
2SU6HYCC                 0.00000               -85.06258
3A2OA_f                 0.00000                24.12089
3M2OBLOXRD_f                 0.00000               -69.06191
3M2OPLOXRD_f                 0.00000               -69.06191
3MTDC_f                 0.00000              -251.95640
3NTD9pp                 0.00000               -15.00000
3OXCOAT                 0.00000                -1.49069
4M2OPLOXRD_f                 0.00000               -70.26191
4MCO2D_f                 0.00000              -246.95640
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000               -14.40000
6PHBG                 0.00000                41.69640
6PHBG2                 0.00000                62.62450
AABTN                 0.00000               -12.10274
AB6PGH                 0.00000                62.62450
ABTA                 0.00000                34.12089
ABTAr                 0.00000                34.12089
ABUTD                 0.00000               -36.42450
ABUTDy                 0.00000               -16.46000
ACACT1r_f                 0.00103                -1.50000
ACACT2r_f                 0.00000                17.00000
ACACT7r_f                 0.00000                17.40000
ACALD                 0.00000               -11.57362
ACGAMT                 0.00000               -31.50520
ACGApts_f                 0.00000               -36.70000
ACGS                 0.00000               -58.34348
ACHBS                 0.00000               -30.63742
ACLDC                 0.05312                -1.50000
ACLS                 0.15384               -38.63742
ACMANAptspp                 0.00000               -38.40000
ACNMLr_f                 0.00000                13.23742
ACOAD1                 0.00000               -57.33190
ACOAD3                 0.00000               -63.13190
ACOAD5                 0.00000               -63.13190
ACOAD6                 0.00000               -63.13190
ACOAD7                 0.00000               -66.73190
ACOADH2_f                 0.00000              -334.06258
ACODA                 0.00000                21.41815
ACOTA_f                 0.00000                24.62089
ACTD2_f                 0.05312                -1.50000
ADA                 0.00001               -23.48695
ADAPAT_f                 0.00000               -17.40360
ADCL                 0.00002               -70.08156
ADCS                 0.00002               -17.90000
ADK1_f                 3.17668               -35.77450
ADKd_f                 0.00000                33.32450
ADNCYC                 0.00000                 8.83742
ADNUC                 0.00000                -7.30000
ADPT                 0.00000                 5.22450
ADSK                 0.00000               -36.64348
