reaction   FLUX    DeltaG
PGK                13.54058                -1.50000
ACKr                11.99545                -1.50000
PTAr                11.99545                -4.52440
PYK                 5.21270                -5.75652
PFK                 0.00000               -42.07474
GAPD                13.54058                -1.50000
ACONTa                 0.00000                15.73742
ACONTb                 0.00000                -7.13742
AKGDH                 1.60695               -23.16268
CS                 0.00000               -47.41024
ENO                13.54058                -1.50000
FBA                 0.00000                37.47474
FRD2                 1.60695                -1.50000
FUM                 0.00000                16.57000
GLCpts                10.00000               -23.75385
ICDHyr                 0.00000                33.36868
MDH3                 0.00000               -64.09515
PDH                13.18934               -25.24976
PGI                 4.73590               -13.91489
PGM                13.54058                -1.50000
SUCOAS                 1.60695                -1.50000
CBPS                 0.00000               -21.54080
GLULOD_f                 0.00000                13.86731
GTHP_f                 0.00000              -334.86204
23PDE7pp                 0.00000               -23.35640
23PDE4pp                 0.00000               -23.15640
23PDE9pp                 0.00000               -23.35640
23PDE2pp                 0.00000               -24.25640
DHQS                 0.01253               -79.59193
DRBK_f                 0.00000                16.24348
MEPCT                 0.00000                12.84348
PGLYCP                 0.00000                -2.05385
CHORS                 0.01253               -11.21643
SULR                 0.00000              -194.02701
HMPK1                 0.00000               -30.64348
CDPMEK                 0.00000               -28.64348
HPROzr_f                 0.00000                40.98102
HETZK                 0.00000               -37.34348
ASAD_f                 0.00506                -1.50000
PPNCL2                 0.00002                -4.39448
RBFSa                 0.00002               -90.90351
MTHFR3_f                 0.00000               100.86175
AMID5                 0.00000               -15.48026
ACS                 0.00000                 0.40274
UAGDP                 0.12024                -1.50000
ACGK                 0.00000                -9.92450
METB1r_f                 0.00506               -31.98354
AMANK                 0.00000               -32.64348
ACYP_2                 0.00000               -21.09732
PUNP1_f                 0.00000               -22.14615
ATPS24                 4.49404                -1.50000
ADPRDP                 0.00000                 2.99330
PANTS                 0.00002               -61.64348
ARGSSr                 1.94400               -29.14348
ASPCT                 2.07987               -15.69732
CBMK                 1.66054                -1.50000
FACOALO                 0.00000               -11.00000
CHCOAL                 0.00000               -15.80000
SUCBZL                 0.00000               -15.80000
CYTDK1                 0.00033               -33.74348
DADNK                 0.00000               -32.44348
DGNSK                 0.02007               -34.44348
NADS1                 0.00009               -43.59512
DPCOAK                 0.00002               -51.86797
DURIK1                 0.02469               -34.94348
FRUKr                 0.00000               -38.34348
FMNAT                 0.00001               -23.98102
HEX7                 0.00000               -31.81221
HEX1                 0.00000               -17.99732
GNK                 0.00000                 4.08102
GLYCK                 0.00000               -25.26606
GLYKr                 0.00008               -49.42450
GTPDPK                 0.00000               -62.26797
PPCK                 0.00000               -18.14156
HSK                 0.00000               -58.64348
MEVK1                 0.00103               -36.34348
NADK                 0.00003               -14.14615
NNATr_f                 0.00009                -2.35652
PNTK                 0.00002               -36.84348
ATPX5P                 0.00000               -34.34348
PYDXK                 0.00000               -35.84348
ATPP5P                 0.00000               -29.04348
PRPPS_f                 2.19039               -11.27474
RBK_Dr                 0.00000               -46.44348
RBK_L1                 0.00000               -32.64348
RBKr                 0.00000               -45.91221
RBFK                 0.00001               -68.56797
PFK_3                 6.53196                -1.50000
SHKK                 0.01253               -30.29732
PFK_2                 0.00000               -39.74348
TMDPK                 0.00001               -23.84348
TMDK1                 0.00000               -39.04348
URIK1                 0.00000               -16.62182
CO23OC                 0.00000              -265.93742
OCBT_f                 0.00000                47.85167
BGLK_f                 0.00000               -30.79732
NTD4pp                 0.00000                14.24615
G3PCT                 0.26161                -1.50000
DASYN140                 0.00000                12.74348
DASYN180                 0.00000                12.74348
SHSL1r_f                 0.00000                20.71822
DACTPP                 0.00000                33.70552
DCPP                 0.00000                33.60552
CYTK11_f                 0.00000                 1.50000
CDDTPP                 0.00000                36.50552
DUCYTP                 0.00000                 2.88102
PYNP1_f                 0.00000               -12.54615
UUPP                 0.00000                 0.58102
UCPP                 0.00000               -32.34348
PUNP2_f                 0.00000               -20.54615
NTD6pp                 0.00000                12.94615
DAUPP                 0.00000                50.42717
UDCTPP                 0.00000                50.62717
PUNP4_f                 0.00000                22.77834
NTPP1                 0.00000                 3.50552
DGUPP                 0.00000                18.62166
ALKP                 0.00000                 6.85907
FOLR2_f                 0.00000                22.57805
PUNP6_f                 0.00000               -21.24615
NTPP10                 0.00000                -1.99448
NADKd                 0.00000                56.00284
DTUPP                 0.00000                53.62717
NTD1                 0.00000                15.34615
DURIPP_f                 0.00000                 1.50000
DUTPDP                 0.00000                10.70552
DUUPP                 0.00000                20.00268
DDPA                 0.01253               -50.79126
PROD2                 0.00000                11.98102
FBP                 0.00000                22.47742
PLPS                 0.00000              -245.71082
PUNP3                 0.00000                18.97834
NTPP2                 0.00000               -22.41898
URIK2                 0.00000               -14.62182
PUNP5_f                 0.00001               -21.64615
PTA2                 0.00000                -8.34615
PYNP2r                 0.00000                -1.00000
PUNP7_f                 0.00000               -18.04615
AMID2r_f                 0.00000                -1.79924
HISTP                 0.00312                -1.50000
NTPP9                 0.00000                57.48922
MI1PP                 0.00000                 6.04615
MI3PP                 0.00000                 6.04615
MI4PP                 0.00000                 6.04615
NADDPp_f                 0.00000               -17.98708
NMNHYD                 0.00000                34.84615
BPNT                 0.00000                23.44615
THRS                 0.00000                -0.25385
4HTHRS                 0.00000                14.04615
PSP_L                 0.00000                54.38065
TAHL_f                 0.00000                16.38102
UAG2EMA_f                 0.00000               -38.04883
NTPP8                 0.00000                -0.39732
NTPP11                 0.00000                -1.99448
URIK3                 0.00000                18.00268
LASP2OA_f                 0.00000                31.95167
PRO1x                 0.00000                37.71292
FF_31_f                 0.00000               -89.23190
P5CR                 0.00000                55.94009
NP1_f                 0.00000                29.05936
ORNCD                 0.00727                -5.96182
PSCVT_f                 0.01253                -1.50000
UAGCVT                 0.05858               -14.48370
PNP_f                 0.00000               -31.16513
UAGPT3                 0.00000               -29.84883
UAGPT2_f                 0.00000               -29.84883
UDUPP                 0.00000               -15.02182
2S5EPAC                 0.00000               -22.63550
2SU6HYCC                 0.00000               -85.06258
3A2OA_f                 0.00000                23.77065
3M2OBLOXRD_f                 0.00000               -67.60615
3M2OPLOXRD_f                 0.00000               -67.60615
3MTDC_f                 0.00000              -251.95640
3NTD9pp                 0.00000               -15.00000
3OXCOAT                 0.00000                -1.84093
4M2OPLOXRD_f                 0.00000               -68.80615
4MCO2D_f                 0.00000              -246.95640
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000               -14.40000
6PHBG                 0.00000                41.34615
6PHBG2                 0.00000                62.62450
AABTN                 0.00000               -12.10274
AB6PGH                 0.00000                62.62450
ABTA                 0.00000                33.77065
ABTAr                 0.00000                33.77065
ABUTD                 0.00000               -36.42450
ABUTDy                 0.00000               -18.79732
ACACT1r_f                 0.00103                -1.50000
ACACT2r_f                 0.00000                17.00000
ACACT7r_f                 0.00000                17.40000
ACALD                 0.00000               -10.11786
ACGAMT                 0.00000                -5.93253
ACGApts_f                 0.00000               -36.70000
ACGS                 0.00000               -58.34348
ACHBS                 0.00441               -29.18166
ACLDC                 0.91724                -1.50000
ACLS                 0.93995               -37.18166
ACMANAptspp                 0.00000               -38.40000
ACNMLr_f                 0.00000                13.23742
ACOAD1                 0.00000               -57.33190
ACOAD3                 0.00000               -63.13190
ACOAD5                 0.00000               -63.13190
ACOAD6                 0.00000               -63.13190
ACOAD7                 0.00000               -66.73190
ACOADH2_f                 0.00000              -334.06258
ACODA                 0.00000                -0.60274
ACOTA_f                 0.00000                24.27065
ACTD2_f                 0.91724                -1.50000
ADA                 0.00001               -24.98026
ADAPAT_f                 0.00000               -17.75385
ADCL                 0.00002               -70.08156
ADCS                 0.00002               -17.90000
ADK1_f                 4.25335               -35.77450
ADKd_f                 0.00000                68.94899
ADNCYC                 0.00000                 8.83742
ADNUC                 0.00000                -7.30000
ADPT                 0.00000                 5.22450
ADSK                 0.00000               -36.64348
ADSL1_f                 0.13126                -1.50000
ADSL2r_f                 0.00000                77.14899
ADSS                 0.13126                -1.50000
AGDC_r_f                 0.00000                 2.49726
AGPAT140d                 0.00000                -3.60000
AGPR_f                 0.00000                -5.72450
AHCYSNS                 0.00001               -17.70000
AICART_f                 0.00312               -14.40338
AKGDa                 0.00000               -77.26000
AKGDb                 0.00000               -10.04093
ALAALAr_f                 0.00000               -17.79732
ALAASPtr                 0.00000               -19.56732
ALAD_L                 0.00000                15.70816
ALAGLUt                 0.00000               -19.56732
ALATA_D_f                 0.00000                25.57065
ALCD1_f                 0.00000                37.43190
ALCD19_f                 0.00000                 7.40740
ALCD2x_f                 0.00000                28.21424
ALDD22x                 0.00000               -30.22450
ALDD2x                 0.00000               -35.73958
ALDD31_f                 0.00000               -29.22450
ALPHNH                 0.00000               -78.26797
AMANAPEr_f                 0.00000                 2.10000
AMAOTr_f                 0.00000                -0.58271
AMID                 0.00000                -0.89924
AMID3                 0.00000                -2.49924
AMID4                 0.00000                -7.60198
AMPEP10_f                 0.00000                29.62450
AMPEP13_f                 0.00000                67.24899
AMPTASECG                 0.00000                 9.00000
ANPRT                 0.00187               -37.27550
ANS                 0.00000               -88.08156
ANS2                 0.00187               -84.18233
AOBUTDs                 0.00000               -22.04424
AOXSr_f                 0.00000               -22.86874
APAT_f                 0.00000                 7.66258
APG3PAT140a                 0.00000               -24.64348
APRAUR                 0.00000                50.05907
APRTO2                 0.00000               -81.89924
ARABR_f                 0.00000                36.55907
ARGDr                 0.00000                 9.62526
ARGN                 0.00000               -34.00000
ARGSL_f                 1.94400                -1.50000
ASNN                 1.14568                -6.29924
ASNS1                 0.00000               -22.01898
ASP1DC                 0.00002               -57.86874
ASPabc                 1.09600               -19.56732
ASPKi                 0.00506               -12.32450
ASPT_f                 0.00000                 4.30076
ASPTA_f                 1.75574                -1.50000
AT_MBD_f                 0.00000                 2.80000
AT_MBD1_f                 0.00000                 2.80000
AT_MBD2_f                 0.00000                 2.80000
ATPM                 7.50000               -19.56732
BETALDHx                 0.00000               -25.62450
BETALDHy                 0.00000                -7.99732
BETALOD_f                 0.00000               -95.95640
BTNt                 0.00000               -19.56732
CA2abc                 0.00017               -55.19182
CAT                 1.03993              -186.06258
CGLYabc                 0.00000               -19.56732
CHLabc                 0.00000               -19.56732
CHOLD                 0.00000                21.53190
