reaction   FLUX    DeltaG
PGK                12.44986                -1.50000
ACKr                 9.90859                -8.50274
PTAr                 9.90859               -25.52450
PYK                 4.52032                -1.50000
PFK                 0.00000               -49.02450
GAPD                12.44986               -17.73713
ACONTa                 0.00000                24.16000
ACONTb                 0.00000               -15.56000
AKGDH                 2.19731               -41.35005
CS                 0.00000               -76.78450
ENO                12.44986                -1.50000
FBA                 0.00000                37.41158
FRD2                 2.19731                -1.50000
FUM                 0.00000               -27.47708
GLCpts                10.00000                -8.10000
ICDHyr                 0.00000                29.11096
MDH3                 0.00000               -32.62450
PDH                11.96252               -25.26363
PGI                 3.85443               -24.12450
PGM                12.44986                -1.50000
SUCOAS                 2.19731                -1.50000
CBPS                 0.00000               -46.54708
GLULOD_f                 0.00000                59.99935
GTHP_f                 0.00000              -312.25483
23PDE7pp                 0.00000               -34.66000
23PDE4pp                 0.00000               -34.46000
23PDE9pp                 0.00000               -34.66000
23PDE2pp                 0.00000               -35.56000
DHQS                 0.01253               -73.81359
DRBK_f                 0.00000                18.98708
MEPCT                 0.00000                -2.13742
PGLYCP                 0.00000                -4.69809
CHORS                 0.01253                -5.43809
SULR                 0.00000              -181.34062
HMPK1                 0.00000               -33.52450
CDPMEK                 0.00000               -31.52450
HPROzr_f                 0.00000                38.10000
HETZK                 0.00000               -40.22450
ASAD_f                 0.00506                -1.83612
PPNCL2                 0.00002                12.18708
RBFSa                 0.00002               -32.65550
MTHFR3_f                 0.00000               108.24708
AMID5                 0.00000               -16.42258
ACS                 0.00000                 4.76532
UAGDP                 0.12024                -1.50000
ACGK                 0.53266                -1.50000
METB1r_f                 0.00506               -72.93690
AMANK                 0.00000               -35.52450
ACYP_2                 0.00000               -33.62532
PUNP1_f                 0.00000               -27.92450
ATPS24                 6.30122                -1.50000
ADPRDP                 0.00000               -13.42258
PANTS                 0.00002              -118.01091
ARGSSr                 1.94400               -49.88641
ASPCT                 2.07987                -2.64000
CBMK                 0.53536                -7.06191
FACOALO                 0.00000               -28.86191
CHCOAL                 0.00000               -33.66191
SUCBZL                 0.00000               -33.66191
CYTDK1                 0.00000               -34.92450
DADNK                 0.00000               -70.94899
DGNSK                 0.01974               -52.96191
NADS1                 0.00009                -6.93742
DPCOAK                 0.00002               -19.12450
DURIK1                 0.02469               -37.82450
FRUKr                 0.00000               -41.22450
FMNAT                 0.00001               -38.96191
HEX7                 0.00000               -30.62450
HEX1                 0.00000                -6.60000
GNK                 0.00000                 1.18646
GLYCK                 0.00000               -19.72450
GLYKr                 0.00008               -67.28641
GTPDPK                 0.00000               -65.14899
PPCK                 0.00000               -18.78708
HSK                 0.00000               -61.52450
MEVK1                 0.00103               -39.22450
NADK                 0.00000               -52.39804
NNATr_f                 0.00009               -52.96191
PNTK                 0.00002               -39.72450
ATPX5P                 0.00000               -37.22450
PYDXK                 0.00000               -38.72450
ATPP5P                 0.00000               -31.92450
PRPPS_f                 2.19072               -22.82450
RBK_Dr                 0.00000               -49.32450
RBK_L1                 0.00000               -35.52450
RBKr                 0.00000               -51.02450
RBFK                 0.00001               -71.44899
PFK_3                 5.83958                -2.50000
SHKK                 0.01253               -12.30000
PFK_2                 0.00000               -42.62450
TMDPK                 0.00001               -26.72450
TMDK1                 0.00000               -41.92450
URIK1                 0.00000                -6.90000
CO23OC                 0.00000              -265.93742
OCBT_f                 0.00000                50.61158
BGLK_f                 0.00000               -27.82258
NTD4pp                 0.00000                 9.90191
G3PCT                 0.26161                -1.50000
DASYN140                 0.00000                -2.23742
DASYN180                 0.00000                -2.23742
SHSL1r_f                 0.00000                26.04708
DACTPP                 0.00000                32.52450
DCPP                 0.00000                32.42450
CYTK11_f                 0.00000                 1.50000
CDDTPP                 0.00000               -33.42450
DUCYTP                 0.00000               -33.92450
PYNP1_f                 0.00000               -18.32450
UUPP                 0.00000                -0.60000
UCPP                 0.00000                -1.50000
PUNP2_f                 0.00000               -61.81158
NTD6pp                 0.00000                45.92641
DAUPP                 0.00000                60.14899
UDCTPP                 0.00000                60.34899
PUNP4_f                 0.00000                 1.50000
NTPP1                 0.00000               -25.66000
DGUPP                 0.00000                29.52450
ALKP                 0.00000                 4.21483
FOLR2_f                 0.00000                31.57354
PUNP6_f                 0.00000               -26.88708
NTPP10                 0.00000               -31.16000
NADKd                 0.00003               -50.99804
DTUPP                 0.00000                -5.40000
NTD1                 0.00000                12.70191
DURIPP_f                 0.00000                 1.50000
DUTPDP                 0.00000               -54.08450
DUUPP                 0.00000                -5.90000
DDPA                 0.01253               -53.43550
PROD2                 0.00000                 9.10000
FBP                 0.00000                23.90191
PLPS                 0.00000              -234.08258
PUNP3                 0.00000                13.20000
NTPP2                 0.00000               -51.58450
URIK2                 0.00000                -4.90000
PUNP5_f                 0.00001               -27.42450
PTA2                 0.00000               -14.12450
PYNP2r                 0.00000                -1.13742
PUNP7_f                 0.00000               -23.82450
AMID2r_f                 0.00000                -5.62258
HISTP                 0.00312                -1.50000
NTPP9                 0.00000                28.34000
MI1PP                 0.00000                 3.40191
MI3PP                 0.00000                 3.40191
MI4PP                 0.00000                 3.40191
NADDPp_f                 0.00000               -58.54708
NMNHYD                 0.00000                32.20191
BPNT                 0.00000                20.80191
THRS                 0.00000                -2.89809
4HTHRS                 0.00000                11.40191
PSP_L                 0.00000                51.73641
TAHL_f                 0.00000                 5.07742
UAG2EMA_f                 0.00000               -45.12641
NTPP8                 0.00000                15.06450
NTPP11                 0.00000               -31.16000
URIK3                 0.00000                27.72450
LASP2OA_f                 0.00000                68.84899
PRO1x                 0.00000                15.88737
FF_31_f                 0.00000               -70.28737
P5CR                 0.00000                59.17354
NP1_f                 0.00000                20.40000
ORNCD                 0.00727                -1.50000
PSCVT_f                 0.01253               -16.60000
UAGCVT                 0.05858                -4.47933
PNP_f                 0.00000               -39.82450
UAGPT3                 0.00000               -28.50383
UAGPT2_f                 0.00000               -28.50383
UDUPP                 0.00000                26.72450
2S5EPAC                 0.00000               -16.10000
2SU6HYCC                 0.00000               -83.68708
3A2OA_f                 0.00000               -35.62385
3M2OBLOXRD_f                 0.00000               -69.52450
3M2OPLOXRD_f                 0.00000               -69.52450
3MTDC_f                 0.00000              -254.83742
3NTD9pp                 0.00000               -15.00000
3OXCOAT                 0.00000               -18.28708
4M2OPLOXRD_f                 0.00000               -70.72450
4MCO2D_f                 0.00000              -249.83742
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000               -22.82258
6PHBG                 0.00000                47.20191
6PHBG2                 0.00000                54.20191
AABTN                 0.00000               -20.52532
AB6PGH                 0.00000                54.20191
ABTA                 0.00000                10.00065
ABTAr                 0.00000                10.00065
ABUTD                 0.00000               -66.67263
ABUTDy                 0.00000               -23.98646
